glossary.australia	pages.sharing.countries.australia
glossary.belgium	pages.sharing.countries.belgium
glossary.brazil	pages.sharing.countries.brazil
glossary.canada	pages.sharing.countries.canada
glossary.chile	pages.sharing.countries.chile
glossary.czechia	pages.sharing.countries.czechia
glossary.fiji	pages.sharing.countries.fiji
glossary.finland	pages.sharing.countries.finland
glossary.france	pages.sharing.countries.france
glossary.germany	pages.sharing.countries.germany
glossary.greece	pages.sharing.countries.greece
glossary.ireland	pages.sharing.countries.ireland
glossary.italy	pages.sharing.countries.italy
glossary.new_zealand	pages.sharing.countries.new_zealand
glossary.portugal	pages.sharing.countries.portugal
glossary.spain	pages.sharing.countries.spain
glossary.sweden	pages.sharing.countries.sweden
glossary.switzerland	pages.sharing.countries.switzerland
glossary.united_kingdom	pages.sharing.countries.united_kingdom
glossary.united_states	pages.sharing.countries.united_states
